,AirLine,country,totalScore,reviews,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage,excellent,veryGood,average,poor,terrible
409, PAL Airlines (Canada),canada,35,28,35,35,20,40,45,35,35,35,35,10,10,1,1,6
410, Pascan,canada,30,14,25,30,20,,45,45,45,50,25,3,5,0,1,5
411, Passaredo Linhas Aereas,brazil,30,296,30,30,20,30,35,35,35,35,25,38,85,97,25,51
412, PAWA Dominicana [no longer operating],dominica,25,122,30,30,20,35,30,30,30,30,30,32,16,10,8,56
413, Peach Aviation,japan,30,1515,25,25,15,25,30,35,35,30,25,192,494,378,165,286
414, Pegas Fly,russia,30,281,30,30,15,25,35,30,35,35,30,62,48,55,33,83
415, Pegasus Airlines,turkey,30,6446,30,30,15,25,30,35,35,35,25,1012,1574,1274,695,1892
416, Penobscot Island Air,united states,50,6,45,45,40,50,50,50,50,50,50,5,1,0,0,0
417, People's Airline,austria,45,36,40,40,25,50,45,40,45,45,45,23,8,0,2,3
418, Peruvian Airlines [no longer operating],peru,25,812,30,25,15,25,25,30,30,30,25,79,166,156,99,312
419, Philippine Airlines (PAL),philiphines,30,4941,35,35,30,30,35,35,40,35,35,1055,1437,886,497,1066
420, Plus Ultra Lineas Aereas,spain,25,530,30,25,15,25,30,25,30,25,30,89,87,49,34,271
421, PNG Air,guinea,30,26,35,35,15,25,30,30,35,30,25,3,6,7,2,8
422, Pobeda,russia,30,3705,30,30,15,20,30,35,40,35,20,876,711,484,340,1295
423, Porter Airlines,canada,35,1855,35,35,20,35,40,40,40,40,40,800,424,145,123,363
424, Precision Air,tanzania,30,540,30,30,15,25,30,30,35,30,30,88,146,84,55,167
425, Primera Air [no longer operating],denmark,30,1875,30,30,15,25,30,30,35,30,25,348,413,247,157,710
426, Proflight Zambia,zambia,40,57,35,35,20,40,45,35,40,40,30,25,17,9,2,4
427, Qantas,australia,40,19948,35,35,35,35,40,35,40,40,35,7448,6066,2995,1544,1896
428, Qatar Airways,qatar,40,32205,40,40,40,40,40,40,45,40,40,17815,7239,2616,1279,3257
429, QAZAQ AIR,kazakhstan,20,23,30,30,15,20,30,30,30,30,30,3,2,3,3,12
430, Qeshm Airlines,iran,35,65,35,35,15,40,35,35,35,35,35,12,18,21,4,10
431, Qingdao Airlines,china,40,6,40,40,30,30,35,40,45,40,35,3,2,0,1,0
432, Ravn Alaska,united states,25,75,30,25,20,35,30,30,30,30,30,18,11,2,2,42
433, REALtonga,tonga,25,27,25,25,10,15,25,20,30,25,10,3,6,5,3,10
434, Red Wings,russia,30,624,30,30,20,25,35,35,40,35,30,158,133,97,54,182
435, Regent Airways,bangladesh,35,130,30,30,15,30,30,35,30,35,30,13,48,44,14,11
436, Regional Air,tanzania,35,7,30,35,15,10,25,35,40,35,30,1,3,1,1,1
437, Regional Express Airlines,australia,40,592,35,35,20,40,45,35,40,45,35,294,130,39,25,104
438, Rossiya Russian Airlines,russia,35,2707,35,35,20,30,40,35,40,40,30,923,786,441,285,272
439, Royal Air Maroc,morocco,25,4883,30,30,25,25,30,30,30,30,30,845,1101,687,464,1786
440, Royal Brunei Airlines,brunei darussalam,40,1078,40,40,35,40,40,40,45,40,40,471,349,110,48,100
441, Royal Jordanian,jordan,30,2216,35,35,30,30,35,35,35,35,30,506,591,387,202,530
442, Ruili Airlines,china,30,5,35,40,20,,40,35,40,40,35,1,1,1,0,2
443, RusLine,russia,25,192,30,30,20,25,30,30,35,35,25,36,36,16,13,91
444, RwandAir,rwanda,35,526,40,35,30,35,40,40,45,40,35,168,169,78,30,81
445, Ryanair,ireland,30,81606,30,30,15,25,30,35,35,30,25,12652,22811,17715,8627,19810
446, S7 airlines,russia,35,4699,35,35,25,35,40,40,40,40,35,1766,1236,607,315,776
447, Safarilink,kenya,40,64,35,35,20,40,40,40,40,40,30,34,18,5,3,4
448, Safi Airways,afghanistan,40,8,40,40,15,30,35,40,40,40,40,2,3,3,0,0
449, SalamAir,oman,20,188,25,25,15,20,25,25,30,25,20,21,25,18,8,116
450, Samoa Airlines,samoa,30,54,40,35,20,40,35,35,40,40,25,15,11,11,2,15
451, San German Express,colombia,30,15,35,35,20,35,40,35,45,45,30,5,3,2,0,5
452, SANSA,costa rica,30,236,30,30,20,35,30,35,40,35,20,74,46,19,17,81
453, Saratov/Ivolga [no longer operating],russia,35,9,40,40,20,30,35,40,40,40,30,2,4,1,0,2
454, SAS,sweden,35,10066,35,35,25,35,35,35,40,40,30,3065,3299,1764,743,1196
455, SATA - Azores Airlines,portugal,30,1703,30,30,20,30,35,30,35,35,30,356,431,242,208,466
456, SATENA Colombia,colombia,35,94,30,30,20,35,35,35,40,35,30,27,28,19,6,14
457, Saudia Airlines,saudi arabia,35,3101,40,35,30,35,35,35,35,35,35,958,830,495,248,570
458, SaudiGulf Airlines,saudi arabia,35,34,35,35,35,35,35,35,40,35,35,14,7,5,2,6
459, SCAT Airlines,kazakhstan,25,166,30,30,20,25,30,30,30,30,30,24,33,23,16,70
460, Scoot,singapore,30,5126,30,30,20,25,30,35,35,35,25,883,1568,913,418,1346
461, Seaborne Airlines,puerto rico,20,279,25,25,15,20,25,25,30,25,15,42,31,16,26,164
462, SereneAir,pakistan,35,51,40,35,20,40,40,35,40,40,40,19,10,8,2,12
463, Sevenair/AeroVIP,portugal,45,9,35,35,20,50,45,40,45,45,25,5,3,0,1,0
464, Severstal Air Company,russia,40,27,40,40,25,50,45,40,45,40,40,13,9,3,1,1
465, Shaheen Air International,pakistan,30,34,30,35,20,35,40,35,35,40,35,8,11,5,1,9
466, Shandong Airlines,china,35,116,30,30,20,30,35,35,35,35,25,20,38,31,17,10
467, Shanghai Airlines,china,30,278,30,30,20,25,30,35,35,35,30,27,77,98,41,35
468, Sharp Airlines,australia,45,21,30,35,20,40,45,35,40,50,15,14,6,0,0,1
469, Shenzhen Airlines,china,35,299,35,35,25,30,35,35,35,35,30,56,107,75,31,30
470, Shree,nepal,50,2,40,40,30,,45,50,45,50,40,2,0,0,0,0
471, Sichuan Airlines,china,35,353,35,35,30,30,35,40,40,35,35,86,135,58,20,54
472, SilkAir,singapore,35,2011,35,35,25,35,40,35,40,40,35,557,744,423,161,126
473, Silver Airways,united states,20,1334,25,25,15,20,25,25,30,25,20,169,139,97,122,809
474, Silverstone Air,kenya,35,78,35,35,20,30,35,40,35,35,30,21,19,17,6,15
475, Simrik Airlines,nepal,25,27,25,30,15,30,30,30,30,35,20,3,5,7,3,9
476, Singapore Airlines,singapore,45,25301,40,40,45,40,45,40,45,45,40,15030,5970,2327,911,1064
477, Sky Airline,chile,30,2108,25,30,15,25,30,35,35,35,25,334,534,497,208,535
478, Sky Angkor Airlines,cambodia,30,7,30,30,20,25,35,30,30,40,10,1,2,2,0,2
479, Sky Express,greece,25,1918,30,30,20,25,25,30,35,30,25,362,216,110,119,1113
480, Sky Shuttle,china,35,3,40,40,,50,50,30,,,,2,0,0,0,1
481, Skyjet Airlines,philiphines,25,226,30,30,15,25,25,25,30,30,25,24,53,22,17,110
482, Skymark Airlines,japan,40,407,35,35,20,30,35,45,40,35,25,116,181,91,7,12
483, SkyUp,ukraine,25,582,30,30,20,30,30,30,35,30,30,174,45,27,36,300
484, Skyway Airlines,costa rica,30,7,35,35,25,30,30,30,35,35,25,2,1,1,0,3
485, SkyWork Airlines [no longer operating],switzerland,40,130,40,40,25,35,40,40,45,45,35,69,24,8,6,23
486, Small Planet Airlines [no longer operating,lithuania,30,3389,30,30,20,25,30,30,35,30,25,584,812,474,377,1142
487, Smartavia,russia,30,522,35,35,20,25,35,35,40,35,35,187,80,56,38,161
488, SmartWings,czech republic,30,3032,25,30,20,25,35,30,35,35,25,509,768,688,386,681
489, Solaseed Air,japan,40,185,35,35,25,35,35,40,40,40,30,45,87,41,6,6
490, Solomon Airlines,solomon islands,40,50,40,40,20,40,40,35,40,40,35,11,28,9,1,1
491, Somon Air,tajikistan,30,36,35,35,25,40,35,35,40,35,30,8,8,8,1,11
492, Sosa (Aerolineas Sosa),honduras,20,30,20,20,10,15,15,20,25,20,10,2,2,4,1,21
493, Sounds Air,new zealand,45,59,40,40,30,45,50,45,45,45,20,43,12,1,0,3
494, South African Airways,south africa,35,4853,35,35,30,30,35,35,40,35,35,1164,1608,991,493,597
495, Southern Airways Express,united states,30,145,40,35,20,35,35,40,40,40,20,68,10,6,10,51
496, Southwest Airlines,united states,45,44333,35,35,35,40,45,45,45,45,35,27024,10657,2942,1307,2404
497, SpiceJet,india,35,5486,30,30,20,30,30,35,35,35,30,1986,1197,870,386,1048
498, Spirit Airlines,united states,30,24384,25,25,15,25,30,30,35,35,20,6902,3989,2598,1954,8946
499, Spring Airlines,china,30,346,25,25,15,20,30,35,35,30,20,35,98,84,49,80
500, Spring Airlines Japan,japan,30,154,30,30,15,25,30,40,40,30,20,23,50,41,11,29
501, SprintAir (Polish airline),poland,25,3,30,30,20,,30,35,35,40,25,0,1,0,2,0
502, SriLankan Airlines,sri lanka,35,3435,35,35,35,35,40,35,40,35,35,919,1166,645,287,418
503, Sriwijaya Air,indonesia,30,732,30,30,20,30,35,35,35,35,30,82,246,197,52,155
504, St Barth Commuter,france,45,17,40,40,40,50,45,45,50,50,30,15,0,0,1,1
505, Star Peru,oman,25,190,30,30,15,25,30,30,30,30,25,23,38,47,14,68
506, Starbow [no longer operating],ghana,35,4,35,40,30,40,40,35,30,35,30,0,3,0,1,0
507, Starflyer,japan,45,251,45,45,40,40,40,40,45,40,35,124,96,23,4,4
508, Sudan Airways,sudan,30,5,25,25,20,20,25,35,10,10,10,2,0,0,2,1
509, Sun Air Express,united states,35,220,30,30,20,25,35,35,35,35,25,46,79,57,15,23
510, Sun Country Airlines,united states,30,3363,30,30,25,30,35,35,35,35,30,877,562,373,350,1201
511, Sunclass Airlines,denmark,40,1236,35,35,35,35,40,40,40,40,35,454,477,199,55,51
512, Sundair,germany,30,262,30,30,15,25,35,35,35,35,25,65,60,23,23,91
513, SunExpress,turkey,30,2406,30,30,15,25,30,35,35,35,25,380,579,561,281,606
514, Sunrise Airways,haiti,25,26,30,35,15,50,30,35,35,30,20,4,6,5,1,10
515, Sunwing Airlines,canada,30,8327,25,25,25,25,30,30,35,35,25,1186,1863,1602,1192,2485
516, Suparna Airlines,china,45,2,40,40,20,,45,40,45,45,40,1,1,0,0,0
517, Surinam Airways,suriname,30,169,30,30,20,30,35,30,35,35,30,26,56,30,13,44
518, Swiss International Air Lines [SWISS],switzerland,40,14297,35,35,35,35,40,35,45,40,40,5521,4216,1821,1010,1730
519, Swoop,canada,25,1717,30,30,20,35,30,35,35,35,20,392,317,117,95,797
520, SyrianAir,syrian arab republic,35,6,35,30,20,50,35,35,25,35,35,1,2,2,1,0
521, T Way Airlines,korea,35,341,30,30,20,25,35,40,35,35,25,56,130,91,20,44
522, TAAG Angola Airlines,angola,30,557,35,30,25,30,30,35,35,30,30,60,168,164,73,92
523, Taban Air,iran,30,25,25,25,15,15,30,30,25,35,35,2,4,11,3,5
524, TAG,guatemala,35,38,35,35,20,20,35,35,40,40,35,10,12,6,3,7
525, Tailwind Airlines,turkey,30,178,25,25,15,20,30,30,35,35,30,27,44,33,30,44
526, Tajik Air,tajikistan,35,5,30,30,15,35,35,30,20,10,20,1,3,0,0,1
527, TAM Airlines Brazil,brazil,40,5497,35,35,35,35,40,40,40,40,35,2088,2264,817,187,141
528, TAME Vuela Ecuador,ecuador,25,527,30,30,20,25,30,25,30,30,25,55,98,104,83,187
529, TAP Air Portugal,portugal,30,21441,30,30,25,30,35,30,40,35,35,4618,5971,3205,2018,5632
530, TAR Aerolineas,mexico,30,268,35,35,25,30,35,35,40,40,35,81,55,20,6,106
531, TAROM,oman,35,1269,35,35,25,30,35,35,40,35,35,326,388,233,117,206
532, Thai Airways,thailand,40,15714,40,40,35,40,40,40,40,40,40,6149,5470,2302,865,928
533, Thai Lion Air,thailand,25,1618,25,30,20,25,30,30,35,30,25,214,376,217,131,680
534, THAI Smile Airways,thailand,45,6262,40,40,30,40,45,45,45,45,40,3501,1949,429,144,242
535, Thai Vietjet,thailand,25,55,30,30,15,30,35,35,40,35,25,8,9,11,5,22
536, Thomas Cook Airlines (UK) [no longer operating],united kingdom,35,14449,30,30,25,30,35,35,40,35,30,3750,3745,2898,1718,2338
537, Thomas Cook Airlines Belgium [no longer operating],belgium,35,169,30,35,25,35,35,35,35,35,30,26,73,34,22,14
538, Tianjin Airlines,china,35,79,35,35,25,30,35,40,40,35,30,16,30,16,4,13
539, Tiara Air Aruba,aruba,25,4,25,25,15,,20,20,20,25,15,0,0,2,2,0
540, Tibet Airlines,china,35,23,35,35,25,30,35,35,40,35,35,6,10,3,1,3
541, tigerair australia,australia,30,2862,30,30,15,25,30,35,35,35,25,488,763,375,211,1025
542, Tigerair Singapore [no longer operating],singapore,35,659,30,30,15,25,35,35,35,35,25,78,274,179,50,78
543, tigerair taiwan,taiwan,35,751,30,30,20,25,35,40,40,40,30,154,333,161,44,59
544, Tradewind Aviation,united states,45,33,45,45,30,50,45,45,50,50,50,30,1,0,0,2
545, Trans Air Congo (TAC),congo,20,4,25,25,10,10,25,25,35,15,30,0,0,1,1,2
546, Trans Guyana,guyana,30,5,30,30,10,30,40,35,35,40,10,1,2,0,1,1
547, Trans Maldivian,maldives,40,232,30,30,20,35,35,30,35,40,25,111,49,23,21,28
548, Transavia,netherlands,35,87099,30,35,20,35,35,35,40,35,30,24283,32030,14245,7302,9275
549, TransNusa,indonesia,40,10,40,40,30,45,40,40,35,35,30,2,6,1,0,1
550, Trigana Air Service,indonesia,35,51,30,30,15,30,35,35,35,35,30,5,22,16,4,4
551, Tropic Air Belize,belize,45,316,35,35,25,45,45,45,45,45,25,229,53,11,5,18
552, Tropic Ocean Airways,united states,50,3,45,45,30,,50,35,50,50,50,3,0,0,0,0
553, Trujet,india,25,153,25,30,15,35,30,30,30,30,25,23,28,16,9,77
554, Tsaradia,madagascar,30,13,35,35,20,,40,25,40,35,25,2,3,2,2,4
555, TUI Airlines Netherlands,netherlands,35,2097,35,30,30,30,35,35,35,35,30,471,709,469,222,227
556, TUI Airways (United Kingdom),united kingdom,35,18384,35,35,25,30,40,35,40,40,35,6159,5210,3219,1560,2237
557, TUI fly Belgium (formerly Jetairfly),belgium,35,4883,35,35,25,30,35,35,35,35,30,1094,1898,929,449,514
558, TUIfly (Germany),germany,30,3320,30,30,20,20,30,30,35,35,25,457,796,861,474,732
559, Tunisair,tunisia,25,2627,30,25,20,20,30,30,25,30,30,263,477,442,372,1074
560, Turkish Airlines,turkey,40,31645,35,40,40,40,40,40,40,40,40,13716,8441,3028,1660,4804
561, Turkmenistan Airlines,turkmenistan,30,216,35,35,15,30,30,35,40,35,35,52,53,39,19,53
562, Tus Air,cyprus,25,188,35,35,15,25,30,30,35,30,25,38,35,6,15,94
563, Twin Jet,france,35,34,35,35,25,35,40,35,40,40,35,11,13,2,2,6
564, Ukraine International Airlines,ukraine,25,3969,30,30,15,25,30,30,35,30,25,481,787,711,534,1456
565, Uni Air,taiwan,45,94,40,40,25,40,40,40,45,45,30,48,37,6,1,2
566, United Airlines,united states,30,51940,35,30,30,30,35,30,35,35,30,10928,14018,10631,6652,9714
567, Ural Airlines,russia,25,3440,30,30,20,25,30,30,35,35,25,584,618,546,473,1219
568, Urumqi Air,china,35,5,30,15,10,,25,25,30,35,20,1,2,1,0,1
569, US-Bangla Airlines,bangladesh,35,127,35,35,20,35,40,40,40,35,35,28,47,31,8,13
570, Utair,russia,30,1439,30,30,15,25,35,30,35,35,25,291,294,259,147,449
571, Uzbekistan Airways,uzbekistan,35,730,35,35,25,35,35,35,40,35,35,199,188,176,78,89
572, Vanilla Air [merged with Peach as of 27.10.2019],japan,35,819,25,30,15,25,35,40,40,35,25,131,298,210,65,115
573, VASCO,viet nam,30,20,30,30,20,20,30,30,35,35,25,4,3,8,2,3
574, Veca Airlines [no longer operating],el salvador,40,12,40,40,25,50,40,45,45,45,30,4,4,4,0,0
575, Via Airlines [no longer operating],united states,15,226,25,20,15,20,20,20,25,25,20,23,13,7,5,178
576, Vieques Air Link,puerto rico,40,74,35,35,30,40,40,40,40,40,25,37,15,6,3,13
577, VietJetAir,viet nam,25,4287,25,30,15,25,25,30,35,30,25,508,868,680,414,1818
578, Vietnam Airlines,viet nam,40,7762,40,35,30,35,40,40,40,40,35,2376,2919,1390,507,570
579, Vim Airlines [no longer operating],russia,30,160,35,35,15,30,35,35,35,30,25,19,53,24,26,38
580, Virgin America (now Alaska Airlines),united states,40,2204,40,40,40,40,40,40,45,40,35,1127,519,257,135,166
581, Virgin Atlantic Airways,united kingdom,40,15380,40,40,40,40,45,40,45,45,40,7906,3837,1693,885,1059
582, Virgin Australia,australia,40,11582,35,35,30,35,40,35,40,40,35,4149,3815,1766,814,1038
583, Vistara,india,40,2840,40,40,30,40,40,40,45,45,40,1614,678,192,67,290
584, Viva Aerobus,mexico,25,3808,30,30,20,25,30,30,35,30,25,572,754,574,303,1609
585, Viva Air (Colombia),colombia,20,2183,25,25,15,15,20,25,30,25,20,201,232,198,141,1412
586, Viva Air (Peru),peru,15,884,20,20,15,15,15,20,25,20,15,41,56,37,53,697
587, VLM Airlines [no longer operating],belgium,30,9,30,30,20,10,35,35,30,40,30,1,4,2,0,2
588, Volaris,mexico,25,6783,25,30,15,25,30,30,35,30,20,1105,1400,1160,650,2471
589, Volotea,spain,30,16848,35,35,25,30,35,35,35,35,30,4465,4406,1481,1163,5354
590, Vueling Airlines,spain,25,27521,25,30,15,25,30,30,35,30,25,3547,6284,4589,2816,10292
591, Wamos Air,spain,25,2369,25,25,20,25,30,30,30,30,25,506,351,367,292,854
592, Wantaniya Airways [no longer operating],kuwait,10,18,15,15,10,10,10,15,20,20,20,0,1,0,0,17
593, West Air,china,40,98,35,35,30,20,40,40,40,40,35,39,25,21,4,9
594, WestJet,canada,35,16117,35,35,30,35,40,35,40,40,35,6483,4336,1995,1048,2256
595, Wideroe,norway,35,419,35,35,20,35,40,35,40,40,30,140,154,57,16,52
596, Winair,netherlands,25,173,30,30,15,30,30,25,35,30,20,46,26,12,13,76
597, Windrose Air,ukraine,40,227,35,35,25,30,40,40,40,40,35,104,65,27,9,22
598, Wingo,colombia,25,660,30,30,15,25,25,30,35,30,25,109,115,60,45,331
599, Wings Air,indonesia,25,309,25,30,15,20,25,30,30,30,20,26,59,86,35,103
600, Wizz Air,hungary,25,18917,25,30,15,25,30,30,35,30,25,2947,4002,2666,1575,7736
601, WOW air [no longer operating],iceland,30,9081,30,30,15,30,30,35,40,30,20,1912,2114,1245,1024,2786
602, Xiamen Airlines,china,35,652,35,35,30,35,35,40,40,35,35,179,208,121,46,98
603, XL Airways [no longer operating],france,25,1974,20,25,20,25,30,30,35,30,25,137,379,410,389,659
604, Xpressair,indonesia,25,3,40,35,25,40,35,30,30,40,20,0,0,2,0,1
605, Yakutia Air,russia,30,205,35,35,20,30,35,30,35,35,35,57,36,31,21,60
606, Yamal Airlines,russia,35,105,30,35,20,35,35,35,40,35,35,29,26,19,6,25
607, Yanair,ukraine,25,164,30,30,15,25,30,30,35,25,25,24,24,19,11,86
608, Yemenia,yemen,30,4,35,35,25,,25,25,30,25,35,1,0,1,2,0
609, Yeti Airlines,nepal,35,229,35,35,20,40,40,35,35,35,30,80,62,44,15,26
610,Zagros Airlines,iran,35,32,30,35,15,30,35,40,35,35,30,5,11,9,6,1
611,9 Air,china,25,12,25,30,15,15,25,30,35,25,20,0,1,4,4,3
