,AirLine,country,totalScore,reviews,excellent,veryGood,average,poor,terrible,
1,Adria Airways [no longer operating],slovenia,30,674,132,200,134,61,147,
2,Advanced Air, ,45,8,6,0,1,0,1,
3,AEGEAN,greece,40,12137,6141,3434,961,384,1218,
4,Aer Lingus,ireland,35,12179,4429,3272,1622,942,1916,
5,Aero Mongolia,mongolia,30,18,3,3,6,1,5,
6,Aeroflot,russia,40,20489,10564,4384,1917,992,2634,
7,Aerogaviota, ,30,30,5,7,9,2,7,
8,Aerolinea de Antioquia,colombia,25,14,3,1,2,3,5,
9,Aerolineas Argentinas,argentina,40,15158,4456,5592,3191,1007,915,
10,Aeromar,mexico,30,428,112,108,38,34,136,
11,Aeromexico,mexico,35,10842,3040,2919,1733,908,2242,
12,Africa World Airlines,ghana,30,51,14,13,6,4,14,
13,African Express Airways,kenya,35,17,3,6,4,1,3,
14,Afriqiyah Airways,libya,25,10,0,2,2,3,3,
15,Aigle Azur [no longer operating],france,25,748,94,152,105,68,329,
16,Air Algerie,algeria,25,506,46,87,85,79,209,
17,Air Antilles,french guiana,20,247,20,20,15,31,162,
18,Air Arabia,united arab emirates,30,2243,426,487,305,152,874,
19,Air Astana,kazakhstan,40,1524,881,329,105,64,145,
20,Air Austral,reunion,35,1524,399,505,189,127,304,
21,Air Bagan,myanmar,30,8,0,2,4,1,1,
22,Air Baltic,latvia,35,15424,5003,4157,2593,1587,2085,
23,Air Belgium,belgium,35,42,18,8,5,3,8,
24,air berlin [no longer operating],germany,30,4137,610,1025,878,569,1055,
25,Air Botswana,botswana,30,120,13,40,30,13,24,
26,Air Burkina,burkina faso,35,27,4,10,7,2,4,
27,Air Busan,korea,40,319,115,136,45,5,18,
28,Air Cairo,egypt,30,1433,235,330,259,209,401,
29,Air Canada,canada,30,27154,5941,7423,5030,3132,5634,
30,Air Canada Rouge,canada,30,7786,865,1736,2047,1622,1516,
31,Air Caraibes,guadeloupe,30,2813,566,821,448,288,691,
32,Air Century,dominica,25,39,11,2,0,2,24,
33,Air Changan,china,40,1,0,1,0,0,0,
34,Air Chathams,new zealand,45,96,71,17,3,0,5,
35,Air China,china,30,5962,872,1678,1428,774,1210,
36,Air Choice One, ,35,128,71,17,5,3,32,
37,Air Corsica,france,35,629,230,202,59,39,99,
38,Air Costa (no longer operating),india,30,37,5,15,2,2,13,
39,Air C?te d Ivoire, ,30,75,7,29,14,6,19,
40,Air Dolomiti,italy,40,971,384,353,106,49,79,
41,Air Dolomiti,italy,40,971,384,353,106,49,79,
42,Air Europa,spain,30,10745,1491,2547,2333,1604,2771,
43,Air Flamenco,puerto rico,35,32,13,6,2,3,8,
44,Air France,france,35,33041,8493,10517,5695,3293,5047,
45,Air Greenland,greenland,35,156,50,50,25,14,17,
46,Air Guilin,china,25,3,1,0,0,1,1,
47,Air Iceland Connect (**this is not Icelandair**),iceland,40,202,86,66,25,13,12,
48,Air India,india,30,8293,1534,2261,1589,950,1959,
49,Air India Express,india,30,434,50,109,96,49,130,
50,Air Italy [no longer operating],italy,30,3776,667,940,668,526,975,
51,Air Juan, ,15,136,17,4,1,2,112,
52,AIR KBZ (Air Kanbawza),myanmar,40,376,131,187,44,10,4,
53,Air Kiribati,kiribati,30,1,0,0,1,0,0,
54,Air Koryo, ,35,80,18,23,27,7,5,
55,Air Kyrgyzstan,kyrgyzstan,30,6,0,3,1,2,0,
56,Air Macau,china,30,202,24,62,72,18,26,
57,Air Madagascar,madagascar,25,389,39,88,71,49,142,
58,Air Malta,malta,35,2837,766,861,519,243,448,
59,Air Manas,kyrgyzstan,35,15,3,7,2,0,3,
60,Air Mauritius,mauritius,35,2406,623,746,447,259,331,
61,Air Mediterranean,greece,20,211,14,30,39,39,89,
62,Air Moldova,moldova,30,367,71,83,46,31,136,
63,Air Namibia,namibia,30,757,129,219,152,98,159,
64,Air New Zealand,new zealand,45,13534,7790,3310,1222,585,627,
65,Air Niugini,guinea,35,210,44,74,36,26,30,
66,Air North (Canada),canada,45,286,239,33,2,2,10,
67,Air Nostrum,spain,35,476,93,203,88,45,47,
68,Air Panama,panama,30,211,35,62,37,32,45,
69,Air Peace,niger,20,71,2,12,12,9,36,
70,Air Pegasus (no longer operating),india,35,123,29,37,24,15,18,
71,Air Rarotonga,cook islands,45,55,29,17,8,1,0,
72,Air Saint Pierre, ,45,8,4,2,2,0,0,
73,Air Senegal,senegal,20,147,19,23,11,14,80,
74,Air Seoul,korea,35,200,44,90,30,12,24,
75,Air Serbia,serbia,30,1900,486,422,248,190,555,
76,Air Seychelles,seychelles,30,696,131,199,148,69,149,
77,Air Tahiti Nui,french polynesia,35,1642,507,518,277,150,190,
78,Air Tahiti Nui,french polynesia,35,1642,507,518,277,150,190,
79,Air Transat,canada,35,11380,2752,3393,2194,1274,1767,
80,Air Vanuatu,vanuatu,40,420,135,164,57,25,39,
81,Air VIA [no longer operating],bulgaria,20,85,12,10,8,7,48,
82,Air Zimbabwe,zimbabwe,25,65,3,11,17,10,24,
83,AirAsia - AirAsia Berhad (Malaysia),malaysia,35,3476,716,1230,752,295,484,
84,AirAsia - AirAsia India,india,30,1080,174,282,193,88,343,
85,AirAsia - AirAsia Japan,indonesia,30,92,11,27,21,6,27,
86,AirAsia - AirAsia X Berhad (Malaysia),malaysia,35,1821,374,689,405,153,200,
87,AirAsia - Indonesia AirAsia,indonesia,35,2517,656,995,471,145,250,
88,AirAsia - Philippines AirAsia, ,30,957,138,279,221,103,217,
89,AirAsia - Thai AirAsia,thailand,35,6005,1366,1941,1050,439,1209,
90,AirAsia - Thai AirAsia X,thailand,35,215,39,83,39,20,34,
91,Airblue,pakistan,25,73,9,22,7,6,29,
92,Aircalin,new caledonia,35,361,94,128,83,26,30,
93,AirKenya Express,kenya,35,22,6,9,1,2,4,
94,Airlink,south africa,40,423,164,145,46,16,52,
95,Airnorth (Australia),australia,35,249,121,42,23,17,46,
96,AirSWIFT, ,35,322,110,79,24,16,93,
97,Alaska Airlines, ,40,16568,9042,4023,1303,737,1467,
98,Alaska Seaplanes, ,45,36,28,5,1,0,2,
99,Alba Star,spain,30,930,143,226,204,122,235,
100,Alexandria Airlines,egypt,35,2,0,1,1,0,0,
101,Alitalia,italy,30,20162,4056,5720,3989,2520,3877,
102,Allegiant Air, ,35,10654,3066,2774,1511,783,2519,
103,Alliance Airlines,australia,35,95,30,28,16,5,16,
104,AlMasria Universal,egypt,20,236,14,36,42,35,109,
105,ALROSA,russia,40,16,9,2,1,2,2,
106,Alsie Express,denmark,50,28,24,4,0,0,0,
107,Amazonas,bolivia,30,252,54,79,48,17,54,
108,American Airlines, ,30,74265,16660,18796,13802,8894,16119,
109,ANA (All Nippon Airways), ,40,10292,5321,3242,999,366,365,
110,AnadoluJet,turkey,35,608,148,211,96,42,111,
111,Andes L?neas A?reas,argentina,25,860,73,183,138,122,344,
112,Angara Airlines,russia,40,13,6,5,1,0,1,
113,Anguilla Air Services,anguilla,45,109,91,7,0,1,10,
114,Ariana Afghan Airlines,afghanistan,20,6,1,0,1,1,3,
115,Arik Air,niger,20,116,3,19,27,15,52,
116,Arkia Israel Airlines,israel,30,765,150,165,119,97,234,
117,Aruba Airlines,aruba,25,126,24,16,13,5,68,
118,Aserca Airlines (no longer operating),venezuela,30,74,9,18,18,13,16,
119,Asia Atlantic Airlines,thailand,35,7,1,4,0,1,1,
120,Asiana Airlines,korea,40,3560,1452,1221,514,165,208,
121,ASKY Airlines,togo,25,95,7,20,25,11,32,
122,ASL France,france,30,588,103,190,107,53,135,
123,Astra Airlines,greece,30,236,51,59,38,26,62,
124,ATA Airlines (Iran), ,25,51,3,6,23,9,10,
125,Atlantic Airways,faroe islands,45,220,114,77,16,6,7,
126,Atlas Air, ,25,69,11,17,8,4,29,
127,AtlasGlobal [no longer operating],turkey,35,1142,312,301,167,97,265,
128,Aurigny, ,40,358,173,111,28,17,29,
129,Aurora,russia,40,66,25,25,13,0,3,
130,Austral L?neas A?reas,argentina,40,210,73,83,45,6,3,
131,Austrian Airlines,austria,35,8447,2895,2548,1127,616,1262,
132,Avianca,colombia,40,19129,7054,6275,2290,1102,2410,
133,Avior Airlines,venezuela,25,201,16,30,52,36,67,
134,Azerbaijan Airlines,azerbaijan,40,593,274,165,66,23,66,
135,Azimuth,russia,30,176,54,31,14,7,71,
136,Aztec Airways, ,40,9,7,0,0,0,2,
137,Azul,brazil,45,17339,10160,5139,1066,371,604,
138,Azur Air,russia,30,1919,492,430,321,225,451,
139,Bahamasair, ,25,542,73,78,65,55,271,
140,Bamboo Airways, ,30,190,64,33,11,11,71,
141,Bangkok Airways,iran,40,4606,2205,1506,447,166,282,
142,Bassaka Air,cambodia,40,95,50,32,3,2,8,
143,Batik Air,indonesia,35,1144,232,483,247,90,92,
144,Bayon Airlines,cambodia,30,37,6,9,6,2,14,
145,Bearskin Airlines,canada,25,13,1,4,2,1,5,
146,Beijing Capital Airlines,china,30,97,16,23,31,10,17,
147,Bek Air,kazakhstan,30,27,4,5,7,4,7,
148,Belavia Belarusian Airlines,belarus,35,1186,425,363,176,69,153,
149,BH Air,bulgaria,25,24,5,1,3,3,12,
150,Bhutan Airlines,bhutan,45,149,83,45,13,2,6,
151,Biman Bangladesh Airlines,bangladesh,30,381,64,93,82,40,102,
152,Binter,spain,40,1012,520,270,61,27,134,
153,Blue Air,oman,30,3555,851,899,445,252,1110,
154,Blue Islands Air, ,30,120,32,27,13,7,42,
155,Blue Panorama Airlines,italy,25,3978,355,695,637,482,1809,
156,Boliviana de Aviaci?n,bolivia,35,439,72,149,109,37,72,
157,Borajet [no longer operating],turkey,35,33,10,9,6,6,2,
158,Boutique Air, ,25,282,59,29,9,21,164,
159,BRA (Braathens Regional Airways AB),sweden,35,255,71,102,44,14,24,
160,British Airways, ,35,55789,14818,15380,11024,6527,8044,
161,Brussels Airlines,belgium,35,7744,1661,2703,1324,677,1380,
162,Buddha Air,nepal,35,198,45,70,42,17,24,
163,Bulgaria Air,bulgaria,30,951,211,262,180,87,211,
164,Buta Airways,azerbaijan,35,158,41,51,18,5,43,
165,Cabo Verde Airlines,cape verde,25,644,77,119,88,65,295,
166,Calafia Airlines,mexico,30,139,51,19,10,8,51,
167,CalmAir International,canada,35,25,4,11,3,3,4,
168,Cambodia Angkor Air,cambodia,25,910,127,213,141,80,349,
169,Canadian North,canada,40,69,26,20,15,4,4,
170,Canaryfly,spain,35,212,86,36,14,20,56,
171,Cape Air, ,35,327,132,59,21,16,99,
172,Caribbean Airlines, ,35,849,219,262,140,46,182,
173,Caspian Airlines, ,30,38,6,8,12,5,7,
174,Cathay Dragon (Dragonair),china,40,1711,435,703,385,93,95,
175,Cathay Pacific,china,40,16373,6186,5572,2516,959,1141,
176,Cayman Airways, ,35,344,126,70,32,27,89,
177,Cebu Pacific Air, ,30,3692,485,996,888,441,882,
178,CemAir,south africa,25,240,73,34,4,5,124,
179,Central Mountain Air,canada,30,58,13,20,5,4,16,
180,Chair Airlines,switzerland,30,111,32,20,12,5,42,
181,Cham Wings, ,45,12,8,3,0,0,1,
182,Chengdu Airlines,china,35,12,3,4,3,0,2,
183,China Airlines,taiwan,40,4102,1383,1643,655,203,218,
184,China Eastern Airlines,china,30,5052,720,1427,1236,627,1042,
185,China Express Airlines,china,45,4,2,2,0,0,0,
186,China Southern Airlines,china,35,4925,1123,1727,888,427,760,
187,China United Airlines,china,30,29,6,6,9,4,4,
188,Chongqing Airlines,china,30,8,1,1,3,2,1,
189,Cinnamon Air,sri lanka,45,28,22,3,1,0,2,
190,Citilink,indonesia,40,1096,316,494,172,27,87,
191,CityJet,ireland,35,418,141,122,69,39,47,
192,Citywing [no longer operating],isle of man,35,11,1,8,0,0,2,
193,CM Airlines,honduras,30,39,8,12,7,3,9,
194,Cobalt [no longer operating],cyprus,35,504,180,159,72,25,68,
195,Condor,germany,30,8353,1470,1970,1639,1174,2100,
196,Contour Airlines, ,35,52,28,1,3,3,17,
197,Copa Airlines,panama,35,12755,4209,4186,2115,891,1355,
198,Corendon Airlines,turkey,30,2785,479,704,493,267,844,
199,Corsair,france,30,2154,311,672,363,271,537,
200,Croatia Airlines,croatia,35,1098,259,353,205,108,173,
201,Cubana de Aviacion, ,25,917,73,199,194,156,295,
202,Cyprus Airways,cyprus,30,58,19,10,8,4,17,
203,Czech Airlines,czech republic,30,2492,374,565,500,366,687,
204,Daallo Airlines,united arab emirates,45,3,2,0,1,0,0,
205,Dalian Airlines,china,40,5,1,3,1,0,0,
206,DAT Danish Air Transport,denmark,35,400,103,143,70,30,54,
207,Delta Air Lines, ,40,59864,24767,18395,7632,3672,5399,
208,Denver Air Connection, ,35,25,13,2,0,2,8,
209,Dniproavia [no longer operating - merged into Windrose Airlines],ukraine,30,20,3,5,7,3,2,
210,Donghai Airlines,china,25,11,1,2,4,0,4,
211,Druk Air,bhutan,40,317,135,127,51,2,2,
212,Dynamic International Airways, ,15,95,3,6,5,6,75,
213,Eagle Air,uganda,40,16,7,4,4,0,1,
214,Eastar Jet,korea,35,153,26,64,30,6,27,
215,Eastern Airways, ,30,231,63,41,21,17,89,
216,EasyFly,colombia,35,119,33,35,16,6,29,
217,easyJet, ,35,57342,14611,19439,9273,4162,9869,
218,Edelweiss Air,switzerland,40,3340,1545,967,341,203,284,
219,EGYPTAIR,egypt,35,4045,920,1238,866,367,655,
220,EL AL Israel Airlines,israel,35,4528,1417,1234,763,463,651,
221,Elite Airways, ,35,169,72,24,12,9,52,
222,Ellinair,greece,35,933,364,233,74,68,194,
223,Emirates,united arab emirates,40,62452,35854,13873,5718,2787,4227,
224,Enter Air,poland,35,2635,638,847,470,255,425,
225,Equatorial Congo Airlines [no longer operating],congo,25,8,0,0,5,1,2,
226,Eritrean Airlines,eritrea,40,2,0,2,0,0,0,
227,Ernest [no longer operating],italy,20,432,59,52,40,26,255,
228,Ethiopian Airlines,ethiopia,35,5794,1291,1887,1104,496,1016,
229,Etihad Airways,united arab emirates,35,16968,5226,4085,2718,1573,3366,
230,Etihad Regional [no longer operating],switzerland,35,65,22,14,13,5,11,
231,Euro Atlantic,portugal,25,143,17,25,27,21,53,
232,European Coastal Airlines [no longer operating],croatia,25,25,6,2,2,1,14,
233,Eurowings,germany,30,10087,1492,2466,1756,1074,3302,
234,EVA Air,taiwan,45,6842,3659,2147,546,216,274,
235,Far Eastern Air Transport [no longer operating],taiwan,45,15,7,5,3,0,0,
236,fastjet, ,30,268,48,78,34,18,90,
237,Fiji Airways,fiji,35,2580,728,694,460,260,438,
238,Finnair,finland,35,7776,2522,2748,1173,485,848,
239,firefly,malaysia,35,243,58,108,32,5,40,
240,First Air,canada,40,52,22,18,7,3,2,
241,Flair Airlines,canada,25,4102,830,494,244,282,2270,
242,Fly Allways,suriname,30,3,0,1,1,1,0,
243,Fly Baghdad,iraq,20,6,0,1,0,2,3,
244,Fly Tiwi,australia,20,1,0,0,0,1,0,
245,Fly540,kenya,25,174,32,31,24,15,72,
246,Flyadeal,saudi arabia,20,131,13,15,11,4,89,
247,FlyArystan,kazakhstan,25,120,40,3,5,7,67,
248,Flybe [no longer operating], ,35,8128,2342,2229,1038,587,1932,
249,flybmi [no longer operating], ,30,372,100,79,43,31,119,
250,Flybondi,argentina,30,783,200,188,76,49,270,
251,FLYBOSNIA, ,15,6,0,1,0,0,5,
252,flydubai,united arab emirates,30,4002,542,913,803,515,1229,
253,FlyEgypt,egypt,25,487,48,98,119,78,145,
254,Flyme, ,35,37,10,12,7,4,4,
255,Flynas,saudi arabia,30,443,44,110,126,46,117,
256,FLYONE,moldova,15,246,16,16,10,13,191,
257,FlyPelican,australia,40,22,9,8,1,0,4,
258,FlySafair,south africa,40,999,453,310,91,39,106,
259,FMIAir,myanmar,40,9,3,4,2,0,0,
260,French bee,france,35,2227,745,573,124,111,677,
261,Frontier Airlines, ,25,18070,2407,2780,2303,1975,8609,
262,Fuji Dream Airlines,japan,40,95,29,53,10,2,1,
263,Fuzhou Airlines,china,30,5,0,1,3,0,1,
264,Garuda Indonesia,indonesia,40,8036,3876,2712,712,299,437,
265,Georgian Airways,georgia,30,515,120,133,81,43,138,
266,Germania Airlines [no longer operating],germany,40,2539,1292,716,225,99,207,
267,Germanwings [Merged into Eurowings],germany,35,461,92,176,97,42,54,
268,GLO Airlines (no longer operating), ,50,8,7,1,0,0,0,
269,GoAir,india,30,1498,252,370,265,109,502,
270,GOL Airlines,brazil,35,17174,3521,6396,5042,1286,930,
271,Golden Myanmar Airlines,myanmar,40,58,21,25,6,2,4,
272,Grand China Air,china,45,10,5,3,2,0,0,
273,Great Dane,denmark,40,10,6,2,1,0,1,
274,Groupe Transair,senegal,40,12,3,7,0,1,1,
275,Gulf Air,bahrain,30,1549,362,413,288,133,353,
276,Gum Air,suriname,40,2,0,2,0,0,0,
277,GX Airlines,china,30,5,2,0,0,3,0,
278,Hainan Airlines,china,35,1406,515,405,201,99,186,
279,Hawaiian Airlines, ,40,7771,3202,2127,1089,566,787,
280,Hebei Airlines,china,35,11,1,4,4,1,1,
281,Helvetic Airways,switzerland,40,267,101,108,32,18,8,
282,Himalaya Airlines,nepal,20,13,2,0,1,1,9,
283,HK Express,china,30,1427,192,534,331,110,260,
284,Hong Kong Airlines,china,35,1723,346,651,387,120,219,
285,Hongtu Airlines,china,50,1,1,0,0,0,0,
286,HOP!,france,35,1500,338,647,203,116,196,
287,Hunnu Air,mongolia,40,17,5,10,1,1,0,
288,IBC Airways, ,40,1,0,1,0,0,0,
289,Iberia,spain,30,20879,3721,5614,3916,2575,5055,
290,Iberia Express,spain,30,3253,632,977,692,379,573,
291,Iberojet [formerly Evelop],spain,30,1434,300,354,268,156,356,
292,IBEX, ,40,19,3,11,5,0,0,
293,Icelandair,iceland,35,8016,2312,2295,1303,800,1306,
294,IndiGo,india,35,8068,2434,2987,1247,437,963,
295,InselAir, ,15,286,13,21,22,24,206,
296,interCaribbean, ,20,161,12,16,11,16,106,
297,Interjet,mexico,35,6841,2092,1777,796,437,1739,
298,IrAero,russia,30,41,9,7,11,4,10,
299,Iran Aseman Airlines, ,35,94,10,27,49,5,3,
300,IranAir, ,35,192,50,70,46,14,12,
301,Iraqi Airways,iraq,30,82,15,23,18,8,18,
302,Island Air [no longer operating], ,35,156,50,48,17,10,31,
303,Israir,israel,30,445,88,96,83,61,117,
304,Izhavia,russia,35,4,1,0,3,0,0,
305,Jambojet,kenya,30,207,49,58,39,16,45,
306,Japan Airlines (JAL), ,45,9147,4897,3005,727,229,290,
307,Jazeera Airways,kuwait,25,257,16,71,24,16,130,
308,JC Cambodia,cambodia,25,77,17,11,2,3,44,
